ID,Year,Program,Class,The class presents a good challenge for me.,The amount of time and energy I spend on this class is proportional to how much I learn.,I understand the purpose of what we do in this class: both in and outside the classroom.,I trust the teacher.,I feel I can approach the teacher when I need something.,I feel safe and comfortable in the class.,I feel comfortable speaking up in the class.,The teacher's expectations of my performance are clearly communicated.,"I know where to look for homework, and the learning materials shared by the teacher.",The information on my academic standing that I receive during the term provides me with sufficient information. ,The feedback on my work during the term allows me to improve.,The teacher is open to my feedback ,I want to learn as much as possible in this class.,I want to get the best mark/grade.,I just want to pass the class.,Class size,Respondents,Response rate (%),Comments
38,Year 3,4-year,AP 2-D Art,10,7,9,10,10,9,6,4,8,9,9,9,10,8,0,8,7,88,art gud
39,Year 3,4-year,AP 2-D Art,8,10,9,10,10,9,10,10,9,10,10,10,10,9,2,8,7,88,Miško is a great teacher that helps me actually do the work!! 
44,Year 3,4-year,AP 2-D Art,10,7,10,6,6,8,8,8,10,3,10,8,10,10,6,8,7,88,
47,Year 3,4-year,AP 2-D Art,7,7,8,9,9,10,9,4,9,8,7,9,10,9,2,8,7,88,"Miško is a great teacher :)) I as student would maybe just appreciate a bit more of a direct feedback sometimes. But we haven't started working properly on the portfolios just yet, so let's see how that goes."
55,Year 3,4-year,AP 2-D Art,9,6,9,10,9,10,8,10,10,10,10,10,9,8,5,8,7,88,
114,Year 4,2-year,AP 2-D Art,9,8,10,9,10,8,10,8,10,7,7,10,10,9,3,8,7,88,
115,Year 4,2-year,AP 2-D Art,8,9,9,10,9,8,9,7,10,10,9,9,10,10,2,8,7,88,"2D art is very chill class for me, the atmosphere is very nice and welcoming and easy to talk in the class. he is straightforward with us and we know what we are doing"
60,Year 3,2-year,AP Art History,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,8,8,100,
73,Year 3,2-year,AP Art History,9,9,10,10,10,10,9,8,10,9,8,10,9,10,4,8,8,100,
76,Year 3,2-year,AP Art History,10,10,10,10,10,10,10,10,10,10,8,10,10,10,3,8,8,100,
38,Year 3,4-year,AP Art History,10,9,7,10,10,10,10,9,10,8,8,8,10,6,8,8,8,100,
47,Year 3,4-year,AP Art History,9,9,9,9,9,9,7,8,9,8,8,8,9,8,2,8,8,100,
51,Year 3,4-year,AP Art History,8,9,10,8,8,8,8,7,10,4,8,8,10,10,10,8,8,100,
56,Year 3,4-year,AP Art History,8,8,10,10,10,10,10,10,10,4,5,7,10,10,0,8,8,100,
78,Year 4,4-year,AP Art History,7,8,8,9,10,10,10,7,7,7,6,9,9,10,0,8,8,100,
59,Year 3,2-year,AP BIO,10,10,8,9,10,10,7,8,10,9,9,10,8,8,9,10,10,100,Peto is very good at handling feedback and uses it to make the class better 
62,Year 3,2-year,AP BIO,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,100,
68,Year 3,2-year,AP BIO,10,6,7,7,5,8,4,7,10,7,9,9,8,5,10,10,10,100,
45,Year 3,4-year,AP BIO,9,8,7,7,6,6,8,4,7,5,4,6,9,9,2,10,10,100,
46,Year 3,4-year,AP BIO,4,6,5,6,9,8,9,4,5,5,4,9,10,10,5,10,10,100,
46,Year 3,4-year,AP BIO,8,7,8,8,8,8,9,7,6,6,5,10,10,10,6,10,10,100,"I appreciate that Peto turned around our classes. I fell more engaged and that those calsses are more meaningful for my learning
"
50,Year 3,4-year,AP BIO,10,4,9,6,5,4,2,4,4,7,7,7,10,7,4,10,10,100,
103,Year 4,2-year,AP BIO,8,9,7,10,10,10,10,8,8,8,8,9,10,10,0,10,10,100,
107,Year 4,2-year,AP BIO,8,5,10,7,6,7,10,9,10,8,8,10,10,10,0,10,10,100,
79,Year 4,4-year,AP BIO,6,2,3,2,1,6,8,6,10,5,4,8,10,10,0,10,10,100,
62,Year 3,2-year,AP CALC,10,10,10,10,10,10,10,8,10,9,10,10,10,9,8,25,20,80,
